kode_pum,kode_bps,nama,file_logo
75.04,7503,Pohuwato,kab-h250px-7504.jpg
75.05,7505,Gorontalo Utara,kab-h250px-7505.jpg
75.71,7571,Gorontalo,kab-h250px-7571.jpg
76.01,7605,Pasangkayu,kab-h250px-7601.jpg
76.02,7604,Mamuju,kab-h250px-7602.jpg
76.03,7603,Mamasa,kab-h250px-7603.jpg
76.04,7602,Polewali Mandar,kab-h250px-7604.jpg
76.05,7601,Majene,kab-h250px-7605.jpg
76.06,7606,Mamuju Tengah,kab-h250px-7606.jpg
81.01,8103,Maluku Tengah,kab-h250px-8101.jpg
81.02,8102,Maluku Tenggara,kab-h250px-8102.jpg
81.03,8101,Kepulauan Tanimbar,
81.04,8104,Buru,kab-h250px-8104.jpg
81.05,8107,Seram Bagian Timur,kab-h250px-8105.jpg
81.06,8106,Seram Bagian Barat,kab-h250px-8106.jpg
81.07,8105,Kepulauan Aru,kab-h250px-8107.jpg
81.08,8108,Maluku Barat Daya,kab-h250px-8108.jpg
81.09,8109,Buru Selatan,kab-h250px-8109.jpg
81.71,8171,Ambon,kab-h250px-8171.jpg
81.72,8172,Tual,kab-h250px-8172.jpg
82.01,8201,Halmahera Barat,
82.02,8202,Halmahera Tengah,
82.03,8205,Halmahera Utara,
82.04,8204,Halmahera Selatan,
82.05,8203,Kepulauan Sula,
82.06,8206,Halmahera Timur,
82.07,8207,Pulau Morotai,
82.08,8208,Pulau Taliabu,
82.71,8271,Ternate,
82.72,8272,Tidore Kepulauan,
91.03,9403,Jayapura,kab-h250px-9103.jpg
91.05,9408,Kepulauan Yapen,kab-h250px-9105.jpg
91.06,9409,Biak Numfor,kab-h250px-9106.png
91.10,9419,Sarmi,kab-h250px-9110.jpg
91.11,9420,Keerom,kab-h250px-9111.jpg
91.15,9426,Waropen,kab-h250px-9115.jpg
91.19,9427,Supiori,kab-h250px-9119.jpg
